city_name,lat,lon,province,island,timezone,elevation_m,population
"Kabupaten Simeulue",2.61667,96.08333,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Aceh Singkil",2.41667,97.91667,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Aceh Selatan",3.16667,97.41667,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Aceh Tenggara",3.36667,97.7,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Aceh Timur",4.63333,97.63333,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Aceh Tengah",4.51,96.855,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Aceh Barat",4.45,96.16667,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Aceh Besar",5.38333,95.51667,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Pidie",5.08,96.11,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Bireuen",5.08333,96.58333,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Aceh Utara",4.97,97.14,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Aceh Barat Daya",3.83333,96.88333,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Gayo Lues",3.95,97.39,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Aceh Tamiang",4.25,97.96667,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Nagan Raya",4.16667,96.51667,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Aceh Jaya",4.86,95.64,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Bener Meriah",4.73015,96.86156,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Pidie Jaya",5.15,96.21667,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kota Banda Aceh",5.54167,95.33333,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kota Sabang",5.82164,95.31086,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kota Langsa",4.47,97.93,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kota Lhokseumawe",5.13333,97.06667,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kota Subulussalam",2.75,97.93333,"Aceh","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Nias",1.03333,97.76667,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Mandailing Natal",0.78378,99.25495,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Tapanuli Selatan",1.51667,99.25,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Tapanuli Tengah",1.9,98.66667,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Tapanuli Utara",2.0028,99.0707,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Toba Samosir",2.39793,99.21678,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Labuhan Batu",2.26667,100.1,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Asahan",2.78333,99.55,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Simalungun",2.9,99.0,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Dairi",2.86667,98.23333,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Karo",3.11667,98.3,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Deli Serdang",3.41667,98.66667,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Langkat",3.71667,98.21667,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Nias Selatan",0.77,97.75,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Humbang Hasundutan",2.26551,98.50376,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Pakpak Bharat",2.56667,98.28333,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Samosir",2.64025,98.71525,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Serdang Bedagai",3.36667,99.03333,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Batu Bara",3.16166,99.52652,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Padang Lawas Utara",1.46011,99.67346,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Padang Lawas",1.44684,99.99207,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Labuhan Batu Selatan",1.983,100.0976,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Labuhan Batu Utara",2.33349,99.63776,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Nias Utara",1.33037,97.31964,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Nias Barat",1.05966,97.58606,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kota Sibolga",1.73333,98.8,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kota Tanjung Balai",2.95833,99.79167,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kota Pematang Siantar",2.96667,99.05,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kota Tebing Tinggi",3.325,99.14167,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kota Medan",3.65,98.66667,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kota Binjai",3.8,108.23333,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kota Padang Sidempuan",1.37375,99.26843,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kota Gunungsitoli",1.32731,97.55018,"Sumatera Utara","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Kepulauan Mentawai",1.98917,99.51889,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Pesisir Selatan",-1.58333,100.85,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Solok",-0.96667,100.81667,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Sijunjung",-1.1827,101.6056,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Tanah Datar",-0.4555,100.5771,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Padang Pariaman",-0.6,100.28333,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Agam",-0.25,100.16667,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Lima Puluh Kota",-0.0168,100.5872,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Pasaman",0.42503,99.94606,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Solok Selatan",-1.23333,101.417,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Dharmasraya",-1.05,101.367,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Pasaman Barat",0.28152,99.51965,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kota Padang",-0.98333,100.45,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kota Solok",-0.76667,100.61667,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kota Sawah Lunto",-0.6,100.75,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kota Padang Panjang",-0.45,100.43333,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kota Bukittinggi",-0.275,100.375,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kota Payakumbuh",-0.23333,100.63333,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kota Pariaman",-0.62682,100.12047,"Sumatera Barat","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Kuantan Singingi",-0.47532,101.45857,"Riau","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Indragiri Hulu",-0.55,102.31667,"Riau","Sumatera","Asia/Jakarta",10,100000
"Kabupaten Indragiri Hilir",-0.33333,103.16667,"Riau","Sumatera","Asia/Jakarta",10,100000
